fileID,f1,f2,vot,notes
bi03_kaka,1176.70,1890.14,17.72,
bi03_kaka1,826.99,1498.01,29.94,
bi03_kaka2,844.62,1646.63,20.76,
bi03_keke,688.18,2369.00,17.71,
bi03_keke1,526.44,2277.97,18.09,
bi03_keke2,460.16,2524.86,14.32,
bi03_kiki,399.17,2665.41,10.64,
bi03_kiki1,351.70,2701.52,32.67,
bi03_kiki2,345.05,2679.93,23.98,
bi03_koko,468.09,858.49,27.66,
bi03_koko1,559.88,898.05,30.39,
bi03_koko2,784.77,1141.21,29.82,
bi03_kuku,397.99,757.12,21.40,
bi03_kuku1,255.40,1684.66,24.46,
bi03_kuku2,410.16,828.57,27.66,
bi03_paka,1130.65,1700.77,11.50,
bi03_paka1,753.43,1621.72,6.87,
bi03_paka2,636.52,1781.05,13.52,
bi03_peke,450.30,1816.62,7.96,
bi03_peke1,554.05,2330.84,11.21,
bi03_peke2,950.14,2443.70,11.93,
bi03_piki,366.73,2693.89,16.45,
bi03_piki1,322.30,2788.73,351.75,
bi03_piki2,1502.14,2723.49,14.10,
bi03_poko,533.66,886.33,26.58,
bi03_poko1,621.90,1847.78,15.33,
bi03_poko2,514.48,865.45,16.11,
bi03_puku,528.24,709.65,19.10,
bi03_puku1,673.58,1661.57,26.73,
bi03_puku2,421.46,815.00,11.08,
bi03_taka,757.65,1639.12,11.21,
bi03_taka1,830.61,1644.62,21.99,
bi03_taka2,860.67,1540.07,11.76,
bi03_teke,463.69,2348.80,24.74,
bi03_teke1,454.41,2399.64,14.72,
bi03_teke2,432.69,2440.64,9.53,
bi03_tiki,356.56,2505.36,14.67,
bi03_tiki1,882.27,2252.59,9.76,
bi03_tiki2,420.40,1898.42,13.88,
bi03_toko,794.81,977.79,14.10,
bi03_toko1,756.44,1115.56,15.37,
bi03_toko2,773.51,1066.25,10.99,
bi03_tuku,655.25,790.44,13.67,
bi03_tuku1,399.78,736.93,11.00,
bi03_tuku2,400.55,746.75,9.57,
