fileID,f1,f2,vot,notes
ne01_kaka,871.22,1653.65,20.76,
ne01_kaka1,948.22,1775.21,30.78,
ne01_kaka2,1078.14,1776.63,9.95,
ne01_keke,478.92,2558.50,4.07,
ne01_keke1,599.95,2409.78,8.90,
ne01_keke2,487.90,2662.94,4.34,
ne01_kiki,316.23,2838.87,6.51,
ne01_kiki1,983.77,2299.48,14.93,
ne01_kiki2,438.63,2779.69,6.84,
ne01_koko,653.70,1126.70,11.68,
ne01_koko1,569.17,1061.06,5.06,
ne01_koko2,653.42,1103.28,31.11,
ne01_kuku,487.32,1099.85,3.37,
ne01_kuku1,443.94,1011.56,8.25,
ne01_kuku2,968.16,1828.76,6.97,
ne01_paka,769.80,1494.49,6.95,
ne01_paka1,800.61,1542.03,27.49,
ne01_paka2,838.54,1635.85,30.59,
ne01_peke,385.16,2661.29,24.09,
ne01_peke1,368.66,2654.04,105.86,
ne01_peke2,546.72,2518.53,33.43,
ne01_piki,399.59,2859.50,13.67,
ne01_piki1,419.41,2879.66,16.31,
ne01_piki2,372.19,2936.60,92.56,
ne01_poko,514.93,1083.13,18.29,
ne01_poko1,577.05,1155.81,22.13,
ne01_poko2,505.11,1052.33,16.32,
ne01_puku,419.64,1062.46,19.56,
ne01_puku1,449.91,1061.50,41.78,
ne01_puku2,436.50,1014.13,46.34,
ne01_taka,881.10,1706.42,11.12,
ne01_taka1,1199.75,1765.73,21.29,
ne01_taka2,924.84,1739.52,11.94,
ne01_teke,513.66,2481.46,13.32,
ne01_teke1,551.71,2477.58,8.16,
ne01_teke2,727.91,2500.63,41.40,
ne01_tiki,371.06,2907.47,7.94,
ne01_tiki1,378.24,2830.15,8.23,
ne01_tiki2,364.09,3002.01,40.71,
ne01_toko,569.86,965.08,34.19,
ne01_toko1,433.31,1097.56,17.97,
ne01_toko2,570.62,1065.35,8.50,
ne01_tuku,419.66,1071.61,8.46,
ne01_tuku1,414.20,1071.88,4.07,
ne01_tuku2,1050.65,1647.46,38.83,
